field,data_type,description
game_id,integer,A unique identifier for each game.
season,integer,"An integer corresponding to a season of college basketball. CBBD's convention is to use the year in which the championship takes place, so if a game took place in the fall of 2024, the season would be recorded as ""2025""."
season_label,character,"A string identifying the two years that one college basketball season spans, e.g. ""20242025""."
season_type,character,"A string identifying whether the tracked game is a ""regular"" season game or a ""postseason"" game."
tournament,character,"If the game takes place as a part of a tournament, this identifies the tournament."
start_date,character,"The start date and time, given in ISO 8601 format in the GMT time zone."
start_time_tbd,logical,A boolean indicating whether the game time has not yet been scheduled.
conference_game,logical,A boolean indicating that the game took place between opponents of the same conference during conference play.
neutral_site,logical,A boolean indicating that the game took place in a neutral site.
is_home,logical,A boolean indicating that the player is playing at their home court.
game_type,character,"A string indicating whether the game took place as a normal, regular season game (""STD""), or whether the game took place as a part of a tournament (""TRNMNT""). Tournament games include both regular season and postseason tournaments. For earlier years, this column will sometimes represent the round of the March Madness tournament that a game took place in (""RD64"", ""RD32"", ""RD16"", ""QTR"", ""SEMI"", ""FINAL"")."
notes,character,"Miscellaneous notes about the game, such as the tournament the game is played under."
team_id,integer,A unique identifier for the team the player plays for.
team,character,The name of the team the player plays for.
conference,character,The name of the conference of the player's team.
team_seed,integer,"If reported, the seed of the player's team in the tournament that the game takes in."
opponent_id,integer,A unique identifier for the player's opponent team.
opponent,character,The name of the player's opponent team.
opponent_conference,character,The name of the conference of the player's opponent team.
opponent_seed,integer,"If reported, the seed of the player's opponent team in the tournament that the game takes in."
game_minutes,integer,"The number of minutes played in the game. For a game with no overtime, this should be 40 minutes."
game_pace,numeric,The number of possessions in the game divided by 40 minutes.
athlete_id,integer,A unique identifier for each player.
athlete_source_id,character,The unique identifier for each player from the data source CBBD scrapes from.
name,character,The name of the player.
position,character,The player's position.
starter,logical,A boolean indicating whether the player started the game or not.
ejected,logical,A boolean indicating whether the player was ejected from the game or not.
minutes,integer,How many minutes the player played in the game.
points,integer,How many points the player scored in the game.
turnovers,integer,How many turnovers the player committed in the game.
fouls,integer,How many fouls the player committed in the game.
assists,integer,How many assists the player recorded in the game.
steals,integer,How many steals the player recorded in the game.
blocks,integer,How many blocks the player recorded in the game.
game_score,numeric,"The Hollinger game score for the player, a measure of how impressive a player's individual performance was in a game. Developed by John Hollinger, you can see more details here: https://en.wikipedia.org/wiki/John_Hollinger#Hollinger_game_score"
offensive_rating,numeric,"A metric created by Dean Oliver to measure how many points per 100 possessions a player generates on offense. For more details, see here: https://en.wikipedia.org/wiki/Offensive_rating"
defensive_rating,numeric,"A metric created by Dean Oliver to measure how many points per 100 possessions a player suppresses from their opponent on defense. For more details, see here: https://en.wikipedia.org/wiki/Defensive_rating"
net_rating,numeric,"Offensive rating minus defensive rating, reflecting an estimates of how many points per 100 possession a player contributes on offense and defense."
usage,numeric,"An estimate of the percentage of plays that involved a player while the player was on the floor. For more details, see here: https://www.nbastuffer.com/analytics101/usage-rate/"
effective_field_goal_pct,numeric,"An adjusted statistic that reflects the value of three-pointers relative to all other baskets by weighing three points more, representing a player's shooting efficiency. For more details, see here: https://en.wikipedia.org/wiki/Effective_field_goal_percentage"
true_shooting_pct,numeric,"An adjusted statistic that reflects a player's skill at shooting three-pointers, two-pointers, and free throws. For more details, see here: https://en.wikipedia.org/wiki/True_shooting_percentage"
assists_turnover_ratio,numeric,The number of assists a player records divided by the number of turnovers they commit. This metric is commonly used to evaluate the accuracy of a player's passing.
free_throw_rate,numeric,The number of free throws a player attempted divded by the number of field goals a player attempted. This metric is commonly used to evaluate a player's ability to draw personal fouls.
offensive_rebound_pct,numeric,"An estimate of the rate at which a player secured offensive reboulds, measured as OREB / the total number of balls that could have been rebounded in the game. For more details, see here: https://en.wikipedia.org/wiki/Rebound_rate"
field_goals_made,integer,The number of shots from the floor a player made.
field_goals_attempted,integer,The number of shots from the floor a player attempted.
field_goals_pct,numeric,The number of field goals made divided by the number of field goals attempted.
two_point_field_goals_made,integer,The number of two-point shots a player made.
two_point_field_goals_attempted,integer,The number of two-point shots a player attempted.
two_point_field_goals_pct,numeric,The number of two-point shots a player made divded by the number of two-point shots they attempted.
three_point_field_goals_made,integer,The number of three-point shots a player made.
three_point_field_goals_attempted,integer,The number of three-point shots a player attempted.
three_point_field_goals_pct,numeric,The number of three-point shots a player made divided by the number of three-point shots they attempted.
free_throws_made,integer,The number of free throw shots a player made.
free_throws_attempted,integer,The number of free throw shots a player attempted.
free_throws_pct,numeric,The number of free throw shots a player made divded by the number of free throw shots they attempted.
rebounds_offensive,integer,The number of offensive rebounds a player recorded.
rebounds_defensive,integer,The number of defensive rebounds a player recorded.
rebounds_total,integer,"The total number of rebounds a player recorded, offensive and defensive."
